Packet Number,Time(seconds),socket_count
7492,328,89
7493,328,89
7546,328,90
7547,328,91
7552,328,92
7553,328,93
7560,328,93
7561,328,93
7562,328,93
7566,328,93
7570,328,93
7571,328,93
7576,328,94
7577,328,95
7578,328,96
7582,328,96
7583,328,96
7585,328,96
7589,328,96
7592,328,96
7607,328,96
7621,328,97
7622,328,98
7623,328,99
7670,328,100
7671,328,101
7672,328,102
7674,328,103
7675,328,104
7676,328,105
7716,328,106
7717,328,107
7733,328,107
7734,328,107
7735,328,107
7740,328,107
7741,328,107
7742,328,107
7743,328,107
7744,328,107
7745,328,107
7746,328,107
7747,328,107
7748,328,107
7749,328,107
7750,328,107
7751,328,107
7752,328,107
7753,328,107
7754,328,107
7755,328,107
7766,328,108
7767,328,109
7768,328,110
7772,328,110
7828,328,110
7829,328,110
7830,328,110
7914,328,111
7915,328,112
7916,328,113
7920,328,113
7921,328,113
7922,328,113
7952,328,113
7953,328,113
7954,328,113
7955,328,113
7956,328,113
7957,328,113
7970,328,113
7971,328,113
7972,328,113
7980,328,113
7984,328,113
7985,328,113
7986,328,113
7987,328,113
7988,328,113
7989,328,113
7990,328,113
7991,328,113
7992,328,113
7993,328,113
7994,328,113
7995,328,113
7996,328,113
7997,328,113
7998,328,113
7999,328,113
8000,328,113
8001,328,113
8002,328,113
8004,328,113
8005,328,113
8006,328,113
8007,328,113
8008,328,113
8009,328,113
8010,328,113
8011,328,113
8012,328,113
8025,328,113
8026,328,113
8027,328,113
8028,328,113
8029,328,113
8030,328,113
8031,328,113
8032,328,113
8034,328,114
8035,328,115
8036,328,116
8040,328,116
8087,328,116
8088,328,116
8089,328,116
8091,328,117
8092,328,118
8093,328,119
8112,328,119
8113,328,119
8114,328,119
8115,328,119
8116,328,119
8117,328,119
8118,328,119
8119,328,119
8120,328,119
8121,328,119
8122,328,119
8123,328,119
8124,328,119
8125,328,119
8142,328,119
8143,328,119
8144,328,119
8145,328,119
8146,328,119
8147,328,119
8148,328,119
8149,328,119
8150,328,119
8151,328,119
8152,328,119
8179,329,119
8180,329,119
8181,329,119
8182,329,119
8183,329,119
8184,329,119
8185,329,119
8186,329,119
8187,329,119
8196,329,119
8197,329,119
8198,329,119
8199,329,119
8200,329,119
8201,329,119
8202,329,119
8204,329,119
8205,329,119
8206,329,119
8207,329,119
8209,329,119
8210,329,119
8211,329,119
8212,329,119
8213,329,119
8214,329,119
8215,329,119
8216,329,119
8217,329,119
8218,329,119
8219,329,119
8220,329,119
8221,329,119
8222,329,119
8223,329,119
8224,329,119
8225,329,119
8226,329,119
8227,329,119
8228,329,119
8229,329,119
8230,329,119
8231,329,119
8232,329,119
8233,329,119
8243,329,119
8263,329,119
8264,329,119
8265,329,119
8283,329,119
8284,329,119
8285,329,119
8286,329,119
8287,329,119
8295,329,119
8297,329,120
8298,329,121
8299,329,122
8303,329,122
8304,329,122
8305,329,122
8306,329,122
8308,329,122
8321,329,122
8322,329,122
8323,329,122
8324,329,122
8378,329,122
8379,329,122
8380,329,122
8405,329,122
8406,329,122
8407,329,122
8408,329,122
8409,329,122
8410,329,122
8411,329,122
8412,329,122
