Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Packet Number,Time(seconds),socket_count
685,53,TCP,192.168.136.132,52496,443,0,46,0,12,329,666,3
686,0,TCP,34.160.144.191,443,52496,754,0,0,12,330,666,3
687,0,TCP,192.168.136.132,52496,443,0,31,0,12,331,666,3
688,0,TCP,34.160.144.191,443,52496,786,0,0,12,332,666,3
689,0,TCP,34.160.144.191,443,52496,0,0,0,12,333,666,3
690,0,TCP,192.168.136.132,52496,443,0,0,0,12,334,666,3
768,604,TCP,192.168.136.132,60464,443,0,0,0,10,335,666,3
769,1,TCP,192.168.136.132,60464,443,0,0,0,10,336,666,3
772,0,TCP,34.107.243.93,443,60464,272,0,0,10,337,666,3
793,0,TCP,192.168.136.1,50654,80,1,0,0,13,338,666,3
794,0,TCP,192.168.136.1,50654,80,0,473,0,13,339,666,3
795,0,TCP,192.168.136.131,80,50654,473,0,0,13,340,666,3
796,0,TCP,192.168.136.131,80,50654,0,494,0,13,341,666,3
797,0,TCP,192.168.136.1,50654,80,494,0,0,13,342,666,3
798,0,TCP,192.168.136.1,50654,80,0,418,0,13,343,666,3
799,0,TCP,192.168.136.131,80,50654,418,493,0,13,344,666,3
800,0,TCP,192.168.136.1,50654,80,493,0,0,13,345,666,3
801,1,TCP,192.168.136.1,50654,80,0,0,0,13,346,666,3
802,1,TCP,192.168.136.131,80,50654,1,0,0,13,347,666,3
803,0,TCP,192.168.136.1,50654,80,1,0,0,13,348,666,3
806,0,TCP,192.168.136.1,50671,80,1,0,0,14,349,666,3
807,0,TCP,192.168.136.1,50671,80,0,490,0,14,350,666,3
808,0,TCP,192.168.136.131,80,50671,490,0,0,14,351,666,3
809,0,TCP,192.168.136.131,80,50671,0,494,0,14,352,666,3
810,0,TCP,192.168.136.1,50671,80,494,0,0,14,353,666,3
811,2,TCP,192.168.136.1,50671,80,0,473,0,14,354,666,3
