Packet Number,Time(seconds),socket_count
2638,1964,35
2639,1964,35
2640,1964,35
2641,1964,35
2642,1964,35
2643,1964,35
2644,1964,35
2645,1964,35
2646,1964,35
2647,1964,35
2648,1964,35
2649,1964,35
2650,1964,35
2651,1964,35
2652,1964,35
2653,1964,35
2654,1964,35
2655,1964,35
2656,1964,35
2657,1964,35
2658,1964,35
2659,1964,35
2660,1964,35
2661,1964,35
2662,1964,35
2663,1964,35
2664,1964,35
2665,1964,35
2666,1964,35
2667,1964,35
2668,1964,35
2669,1964,35
2670,1964,35
2671,1964,35
2672,1964,35
2673,1964,35
2674,1964,35
2675,1964,35
2676,1964,35
2677,1964,35
2678,1964,35
2679,1964,35
2680,1964,35
2681,1964,35
2683,1964,35
2684,1964,35
2685,1964,35
2686,1964,35
2687,1964,35
2688,1964,35
2689,1964,35
2690,1964,35
2691,1964,35
2692,1964,35
