Packet Number,Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,sql,stream,Time(seconds),socket_count
762,29,TCP,35.186.224.39,443,51064,43,0,0,9,,
763,0,TCP,35.186.224.39,443,51064,0,40,0,9,,
770,21,TCP,163.70.143.60,443,51007,70,0,0,6,,
771,0,TCP,163.70.143.60,443,51007,0,72,0,6,,
777,0,TCP,192.168.77.1,1900,51247,145,0,0,38,,
778,0,TCP,192.168.77.1,1900,51247,0,261,0,38,,
779,0,TCP,192.168.77.1,1900,51247,0,1460,0,38,,
781,0,TCP,192.168.77.1,1900,51247,0,1460,0,38,,
782,0,TCP,192.168.77.1,1900,51247,0,463,0,38,,
786,0,TCP,192.168.77.1,1900,51247,1,0,0,38,,
790,0,TCP,192.168.77.1,1900,51248,592,0,0,39,,
791,0,TCP,192.168.77.1,1900,51248,0,218,0,39,,
792,0,TCP,192.168.77.1,1900,51248,0,416,0,39,,
796,0,TCP,192.168.77.1,1900,51248,1,0,0,39,,
800,0,TCP,192.168.77.1,1900,51249,613,0,0,40,,
801,0,TCP,192.168.77.1,1900,51249,0,218,0,40,,
802,0,TCP,192.168.77.1,1900,51249,0,343,0,40,,
806,0,TCP,192.168.77.1,1900,51249,1,0,0,40,,
810,0,TCP,192.168.77.1,1900,51250,917,0,0,41,,
811,0,TCP,192.168.77.1,1900,51250,0,218,0,41,,
812,0,TCP,192.168.77.1,1900,51250,0,268,0,41,,
815,0,TCP,192.168.77.1,1900,51250,1,0,0,41,,
845,0,TCP,23.109.170.137,443,51251,855,0,0,42,,
846,0,TCP,23.109.170.137,443,51251,0,387,0,42,,
849,0,TCP,23.109.170.137,443,51251,592,0,0,42,,
850,0,TCP,23.109.170.137,443,51251,0,1440,0,42,,
851,0,TCP,23.109.170.137,443,51251,0,229,0,42,,
853,19,TCP,23.215.215.147,443,51238,0,24,0,25,,
855,0,TCP,23.215.215.147,443,51238,0,0,0,25,,
885,0,TCP,192.168.77.1,1900,51252,145,0,0,43,,
886,0,TCP,192.168.77.1,1900,51252,0,261,0,43,,
887,0,TCP,192.168.77.1,1900,51252,0,1460,0,43,,
889,0,TCP,192.168.77.1,1900,51252,0,1460,0,43,,
890,0,TCP,192.168.77.1,1900,51252,0,463,0,43,,
894,0,TCP,192.168.77.1,1900,51252,1,0,0,43,,
898,0,TCP,192.168.77.1,1900,51253,592,0,0,44,,
899,0,TCP,192.168.77.1,1900,51253,0,218,0,44,,
900,0,TCP,192.168.77.1,1900,51253,0,416,0,44,,
904,0,TCP,192.168.77.1,1900,51253,1,0,0,44,,
908,0,TCP,192.168.77.1,1900,51254,613,0,0,45,,
909,0,TCP,192.168.77.1,1900,51254,0,218,0,45,,
910,0,TCP,192.168.77.1,1900,51254,0,343,0,45,,
914,0,TCP,192.168.77.1,1900,51254,1,0,0,45,,
918,0,TCP,192.168.77.1,1900,51255,917,0,0,46,,
919,0,TCP,192.168.77.1,1900,51255,0,218,0,46,,
920,0,TCP,192.168.77.1,1900,51255,0,268,0,46,,
924,0,TCP,192.168.77.1,1900,51255,1,0,0,46,,
928,0,TCP,192.168.77.1,1900,51256,917,0,0,47,,
929,0,TCP,192.168.77.1,1900,51256,0,218,0,47,,
930,0,TCP,192.168.77.1,1900,51256,0,268,0,47,,
934,0,TCP,192.168.77.1,1900,51256,1,0,0,47,,
938,0,TCP,192.168.77.1,1900,51257,917,0,0,48,,
940,0,TCP,192.168.77.1,1900,51257,0,218,0,48,,
941,0,TCP,192.168.77.1,1900,51257,0,268,0,48,,
945,0,TCP,192.168.77.1,1900,51257,1,0,0,48,,
949,0,TCP,192.168.77.1,1900,51258,917,0,0,49,,
950,0,TCP,192.168.77.1,1900,51258,0,218,0,49,,
951,0,TCP,192.168.77.1,1900,51258,0,268,0,49,,
954,0,TCP,192.168.77.1,1900,51258,1,0,0,49,,
968,0,TCP,192.168.77.101,58168,80,1,0,0,50,120,3
969,0,TCP,192.168.77.101,58168,80,0,402,0,50,,
971,0,TCP,192.168.77.101,58168,80,298,0,0,50,,
974,0,TCP,192.168.77.101,58168,80,0,411,0,50,,
976,0,TCP,192.168.77.101,58168,80,636,0,0,50,,
978,0,TCP,192.168.77.101,58168,80,0,412,0,50,,
981,0,TCP,192.168.77.101,58168,80,841,0,0,50,,
988,0,TCP,192.168.77.101,58180,443,1,0,0,51,121,4
989,0,TCP,192.168.77.101,58180,443,0,517,0,51,,
990,0,TCP,192.168.77.101,58181,443,1,0,0,52,121,5
991,0,TCP,192.168.77.101,58181,443,0,517,0,52,,
994,0,TCP,192.168.77.101,58180,443,862,0,0,51,,
995,0,TCP,192.168.77.101,58180,443,0,0,0,51,,
1001,0,TCP,192.168.77.101,58181,443,862,0,0,52,,
1002,0,TCP,192.168.77.101,58180,443,1,0,0,51,,
1003,0,TCP,192.168.77.101,58182,443,1,0,0,53,121,6
1004,0,TCP,192.168.77.101,58182,443,0,517,0,53,,
1006,0,TCP,192.168.77.101,58181,443,0,0,0,52,,
1011,0,TCP,192.168.77.101,58182,443,862,0,0,53,,
1012,0,TCP,192.168.77.101,58182,443,0,0,0,53,,
1015,0,TCP,192.168.77.101,58183,443,1,0,0,54,121,7
1016,0,TCP,192.168.77.101,58183,443,0,517,0,54,,
1017,0,TCP,192.168.77.101,58181,443,1,0,0,52,,
1018,0,TCP,192.168.77.101,58182,443,1,0,0,53,,
1020,0,TCP,192.168.77.101,58183,443,862,0,0,54,,
1021,0,TCP,192.168.77.101,58183,443,0,0,0,54,,
1026,0,TCP,192.168.77.101,58183,443,1,0,0,54,,
1027,0,TCP,192.168.77.101,58185,443,0,0,0,55,,
1032,58,TCP,157.90.91.72,443,49949,39,39,0,2,,
1037,10,TCP,23.109.170.137,443,51251,0,0,0,42,,
1040,4,TCP,192.168.77.101,58168,80,1,0,0,50,,
1041,0,TCP,192.168.77.101,58168,80,0,0,0,50,,
1049,30,TCP,104.18.1.181,443,50884,35,0,0,5,,
1051,19,TCP,163.70.143.60,443,51007,70,0,0,6,,
1052,0,TCP,163.70.143.60,443,51007,0,72,0,6,,
1057,10,TCP,23.109.170.137,443,51251,0,0,0,42,,
1060,0,TCP,23.109.170.137,443,51251,53,0,0,42,,
1061,0,TCP,23.109.170.137,443,51251,1,0,0,42,,
