Packet Number,Time(seconds),Time_interval,Layer,src_ip,scr_port,dst_port,ack_no,tcp_length,socket_count,sql,stream
6455,2006,58,TCP,192.168.136.131,60018,443,0,46,11,0,16
6462,2006,0,TCP,192.168.136.131,60018,443,46,0,11,0,16
12382,2021,14,TCP,192.168.136.131,60018,443,0,46,11,0,16
12800,2021,0,TCP,192.168.136.131,60018,443,0,31,11,0,16
12803,2021,0,TCP,192.168.136.131,60018,443,0,0,11,0,16
12927,2021,0,TCP,192.168.136.131,60018,443,1,0,11,0,16
867,1947,0,TCP,34.160.144.191,443,60018,216,0,11,0,16
868,1947,0,TCP,34.160.144.191,443,60018,0,1412,11,0,16
869,1947,0,TCP,34.160.144.191,443,60018,0,1412,11,0,16
872,1947,0,TCP,34.160.144.191,443,60018,0,1578,11,0,16
875,1947,0,TCP,34.160.144.191,443,60018,93,0,11,0,16
882,1947,0,TCP,34.160.144.191,443,60018,0,364,11,0,16
906,1947,0,TCP,34.160.144.191,443,60018,177,0,11,0,16
907,1947,0,TCP,34.160.144.191,443,60018,296,0,11,0,16
909,1947,0,TCP,34.160.144.191,443,60018,38,0,11,0,16
912,1947,0,TCP,34.160.144.191,443,60018,0,38,11,0,16
915,1947,0,TCP,34.160.144.191,443,60018,0,345,11,0,16
916,1947,0,TCP,34.160.144.191,443,60018,0,1412,11,0,16
917,1947,0,TCP,34.160.144.191,443,60018,0,1412,11,0,16
921,1947,0,TCP,34.160.144.191,443,60018,0,1412,11,0,16
923,1947,0,TCP,34.160.144.191,443,60018,0,1241,11,0,16
925,1947,0,TCP,34.160.144.191,443,60018,0,46,11,0,16
928,1947,0,TCP,34.160.144.191,443,60018,46,0,11,0,16
6457,2006,58,TCP,34.160.144.191,443,60018,46,0,11,0,16
6460,2006,0,TCP,34.160.144.191,443,60018,0,46,11,0,16
12383,2021,14,TCP,34.160.144.191,443,60018,46,0,11,0,16
12804,2021,0,TCP,34.160.144.191,443,60018,31,0,11,0,16
12805,2021,0,TCP,34.160.144.191,443,60018,1,0,11,0,16
12926,2021,0,TCP,34.160.144.191,443,60018,0,0,11,0,16
