Layer,src_ip,,dst_port,sql
TCP,192.168.77.1,,51248,0
TCP,192.168.77.1,,51248,0
TCP,192.168.77.1,,51249,0
TCP,192.168.77.1,,51249,0
TCP,192.168.77.1,,51249,0
TCP,192.168.77.1,,51249,0
TCP,192.168.77.1,,51250,0
TCP,192.168.77.1,,51250,0
TCP,192.168.77.1,,51250,0
TCP,192.168.77.1,,51250,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
UDP,192.168.77.106,,,0
DNS,192.168.77.106,,,0
UDP,192.168.77.1,,,0
DNS,192.168.77.1,,,0
TCP,23.109.170.137,,51251,0
TCP,23.109.170.137,,51251,0
TCP,23.109.170.137,,51251,0
TCP,23.109.170.137,,51251,0
TCP,23.109.170.137,,51251,0
TCP,23.215.215.147,,51238,0
TCP,23.215.215.147,,51238,0
UDP,192.168.77.106,,,0
UDP,192.168.77.1,,,0
UDP,192.168.77.101,,,1
UDP,192.168.77.101,,,1
UDP,,,,0
UDP,,,,0
UDP,0.0.0.0,,,0
DHCP,0.0.0.0,,,0
ARP,,,,0
UDP,,,,0
ARP,,,,0
UDP,0.0.0.0,,,0
DHCP,0.0.0.0,,,0
UDP,,,,0
ARP,,,,0
TCP,192.168.77.1,,51252,0
TCP,192.168.77.1,,51252,0
TCP,192.168.77.1,,51252,0
TCP,192.168.77.1,,51252,0
TCP,192.168.77.1,,51252,0
TCP,192.168.77.1,,51252,0
TCP,192.168.77.1,,51253,0
TCP,192.168.77.1,,51253,0
TCP,192.168.77.1,,51253,0
TCP,192.168.77.1,,51253,0
TCP,192.168.77.1,,51254,0
TCP,192.168.77.1,,51254,0
TCP,192.168.77.1,,51254,0
TCP,192.168.77.1,,51254,0
TCP,192.168.77.1,,51255,0
TCP,192.168.77.1,,51255,0
TCP,192.168.77.1,,51255,0
TCP,192.168.77.1,,51255,0
TCP,192.168.77.1,,51256,0
TCP,192.168.77.1,,51256,0
TCP,192.168.77.1,,51256,0
TCP,192.168.77.1,,51256,0
TCP,192.168.77.1,,51257,0
ARP,,,,0
TCP,192.168.77.1,,51257,0
TCP,192.168.77.1,,51257,0
TCP,192.168.77.1,,51257,0
TCP,192.168.77.1,,51258,0
TCP,192.168.77.1,,51258,0
TCP,192.168.77.1,,51258,0
TCP,192.168.77.1,,51258,0
ARP,,,,0
ARP,,,,0
ARP,,,,0
ARP,,,,0
ARP,,,,0
ARP,,,,0
ARP,,,,0
ARP,,,,0
ARP,,,,0
ARP,,,,0
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
UDP,192.168.77.101,,,1
UDP,,,,0
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
TCP,192.168.77.101,,443,1
UDP,192.168.77.101,,,1
UDP,,,,0
TCP,157.90.91.72,,49949,0
UDP,192.168.77.101,,,1
UDP,,,,0
TCP,23.109.170.137,,51251,0
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
UDP,192.168.77.106,,,0
UDP,,,,0
UDP,192.168.77.106,,,0
UDP,,,,0
TCP,104.18.1.181,,50884,0
TCP,163.70.143.60,,51007,0
TCP,163.70.143.60,,51007,0
UDP,192.168.77.101,,,1
UDP,,,,0
TCP,23.109.170.137,,51251,0
TCP,23.109.170.137,,51251,0
TCP,23.109.170.137,,51251,0
TCP,35.186.224.39,,51064,0
TCP,35.186.224.39,,51064,0
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
TCP,192.168.77.101,,80,1
